now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3271024477633,1,1370,50720,0,0,1,0,0,1,4103966398,18446744073709551615
3271033226847,38,1370,52978,0,0,2,0,0,1,4103966435,4321766
3271062798875,1408,1370,75458,1,8598,3,0,0,1,4103981505,4137566
3271062921046,2778,1370,95251,1,8598,4,0,0,0,4103982875,3195419
3271062936291,4148,1370,112585,1,8598,5,0,0,0,4103982875,2761545
3271062995115,5518,1370,127811,1,8598,6,0,0,0,4103982875,2531065
3271072795876,6888,1370,150934,4,29299,7,0,0,0,4103991095,2401045
3271072921592,6888,1370,171217,4,29299,8,0,0,0,4103993835,2178435
3271072958735,9628,1370,189001,6,39225,9,0,0,0,4103993835,1920370
3271072980991,10998,1370,204584,7,39262,10,0,0,0,4103993835,1855651
3271073078247,13738,1370,218317,8,39284,12,0,0,0,4103993835,1714308
3271073095691,15108,1370,214107,10,39382,13,0,0,0,4103993835,1606471
3271100745973,16478,1370,225228,11,39399,14,0,0,0,4104004795,1740438
3271100874525,17848,1370,234921,11,37947,15,0,0,0,4104006165,1654501
3271100892541,19218,1370,243420,9,37879,16,0,0,0,4104006165,1586235
3271100903139,20588,1370,250868,10,37897,17,0,0,0,4104006165,1530852
3271100914761,23328,1370,257396,11,37908,19,0,0,0,4104006165,1572779
3271100980289,24698,1370,263174,13,37919,20,0,0,0,4104014385,1532890
3271100995010,27438,1370,258432,14,37985,22,0,0,0,4104014385,1499236
3271101028662,30178,1370,254025,15,39145,24,0,0,0,4104014385,1611565
3271101042393,32918,1370,250183,11,27933,26,0,0,0,4104014385,1639523
3271110205875,35658,1370,255985,13,27947,28,0,0,0,4104026715,1752317
3271124047282,37028,1370,274903,15,37110,29,0,0,0,4104029455,1712600
3271124163659,38398,1370,291573,16,50952,30,0,0,0,4104032195,1674481
3271124188554,39768,1370,278509,17,51068,31,0,0,0,4104032195,1578747
3271124223069,41138,1370,266998,17,37945,32,0,0,0,4104032195,1652801
3271124234830,42508,1370,256937,13,37893,33,0,0,0,4104032195,1724057
3271124325980,45248,1370,248224,14,37893,35,0,0,0,4104039045,1876880
3271124339384,47988,1370,240614,16,37893,37,0,0,0,4104039045,1942761
3271124348729,50728,1370,233831,18,37893,39,0,0,0,4104039045,2095306
3271124355609,53468,1370,227903,13,27924,41,0,0,0,4104039045,2156087
3271124418951,58948,1370,222779,15,27924,45,0,0,0,4104052745,2308350
3271124426886,60318,1370,218303,19,27924,46,0,0,0,4104052745,2459836
3271124432620,63058,1370,196570,20,27924,48,0,0,0,4104052745,2510272
3271134606462,64428,1370,182520,20,45747,49,0,0,0,4104052745,3010835
3271134785803,65798,1370,170405,20,50954,50,0,0,0,4104069185,3362699
3271134815188,67168,1370,159657,21,50954,51,0,0,0,4104069185,3730406
3271134851067,68538,1370,150288,18,23342,52,0,0,0,4104069185,4118829
3271134865333,69908,1370,142104,19,23342,53,0,0,0,4104069185,4521452
3271134876660,71278,1370,134954,20,23342,54,0,0,0,4104069185,4936103
3271134888210,72648,1370,128710,21,23342,55,0,0,0,4104069185,5360048
3271134901071,74018,1370,123161,22,23342,56,0,0,0,4104069185,5790381
3271134912476,75388,1370,118316,15,23307,57,0,0,0,4104069185,6229244
3271134924184,76758,1370,114089,16,23307,58,0,0,0,4104069185,6669596
3271134950605,78128,1370,110416,17,23307,59,0,0,0,4104069185,6916705
3271134962089,79498,1370,107214,18,23307,60,0,0,0,4104069185,7146790
3271134976729,80868,1370,104427,19,23307,61,0,0,0,4104069185,7564683
3271135206237,82238,1370,102218,20,23307,62,0,0,0,4104093845,7766573
3271165823425,83608,1370,130902,21,23307,63,0,0,0,4104093845,7934414
3271165865827,84978,1370,156043,22,41468,64,0,0,0,4104093845,6195780
3271165875088,86348,1370,178051,23,41510,65,0,0,0,4104093845,5338015
