now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3421132710514,1,1370,27992,0,0,1,0,0,1,3963549045,18446744073709551615
3421138454589,38,1370,30086,0,0,2,0,0,1,3963549082,7830808
3421154380949,1408,1370,35104,1,5593,3,0,0,1,3963562782,7285780
3421154510333,2778,1370,39624,1,5593,4,0,0,0,3963565522,6868732
3421154522004,4148,1370,43591,2,8908,5,0,0,0,3963565522,6638400
3421154530582,5518,1370,47071,3,8920,6,0,0,0,3963565522,6537129
3421154578060,6888,1370,50164,4,8928,7,0,0,0,3963573742,6519513
3421174295705,8258,1370,72481,5,8976,8,0,0,0,3963577852,6554501
3421174383403,9628,1370,92096,5,8976,9,0,0,0,3963579222,4838785
3421174407413,10998,1370,109283,5,8976,10,0,0,0,3963579222,4046212
3421174415451,12368,1370,124330,5,8976,11,0,0,0,3963579222,3610442
3421174423700,13738,1370,137504,5,8976,12,0,0,0,3963579222,3349794
3421174508338,15108,1370,140379,5,8976,13,0,0,0,3963590182,3188270
3421174536168,16478,1370,142923,10,20128,14,0,0,0,3963590182,3279122
3421174546137,17848,1370,145069,11,20156,15,0,0,0,3963590182,3374124
3421174554594,19218,1370,146955,9,20016,16,0,0,0,3963590182,3475311
3421174614880,20588,1370,148665,10,20024,17,0,0,0,3963601142,3579871
3421174625509,23328,1370,150172,11,20084,19,0,0,0,3963601142,3686139
3421174637448,24698,1370,151503,13,20095,20,0,0,0,3963601142,3941080
3421174650847,27438,1370,152596,14,20107,22,0,0,0,3963601142,4051140
3421196074565,30178,1370,159577,15,20072,24,0,0,0,3963614842,4022123
3421196167592,32918,1370,161368,16,28624,26,0,0,0,3963618952,3983531
3421196186340,34288,1370,162954,14,28721,27,0,0,0,3963618952,3939318
3421196194249,35658,1370,164350,15,28721,28,0,0,0,3963618952,3900978
3421196201764,37028,1370,165579,16,28721,29,0,0,0,3963618952,4001216
3421202733711,38398,1370,173186,17,28721,30,0,0,0,3963618952,3971518
3421202842963,39768,1370,179951,18,28721,31,0,0,0,3963628542,3797073
3421202851805,41138,1370,185880,19,28721,32,0,0,0,3963628542,3654328
3421202858117,42508,1370,190944,20,28721,33,0,0,0,3963628542,3655691
3421202883336,43878,1370,195400,17,28304,34,0,0,0,3963628542,3558739
3421202888945,45248,1370,199304,18,28329,35,0,0,0,3963628542,3477584
3421202894145,46618,1370,202726,19,28334,36,0,0,0,3963628542,3409464
3421202898890,47988,1370,205725,20,28340,37,0,0,0,3963628542,3460039
3421202903348,49358,1370,208354,21,28344,38,0,0,0,3963628542,3409600
3421202908007,50728,1370,210659,22,28349,39,0,0,0,3963628542,3366578
3421202913290,52098,1370,212681,23,28354,40,0,0,0,3963628542,3329741
3421202922047,53468,1370,212859,24,28359,41,0,0,0,3963628542,3401150
3421202930058,54838,1370,213023,19,28272,42,0,0,0,3963628542,3398305
3421203042598,56208,1370,213279,20,28280,43,0,0,0,3963649092,3395689
3421216315555,57578,1370,226776,21,28392,44,0,0,0,3963649092,3391613
3421216351936,58948,1370,238621,22,41665,45,0,0,0,3963649092,3286414
3421216381836,60318,1370,249016,23,41701,46,0,0,0,3963649092,3123279
3421216410356,61688,1370,258140,24,41731,47,0,0,0,3963649092,2992900
3421216439650,63058,1370,266153,25,41760,48,0,0,0,3963649092,2887115
3421227064235,64428,1370,283789,26,41789,49,0,0,0,3963660052,2882552
3421227101206,65798,1370,299258,27,52414,50,0,0,0,3963660052,2703416
3421227135550,67168,1370,292887,28,52451,51,0,0,0,3963660052,2563674
3421227163939,68538,1370,287341,27,31061,52,0,0,0,3963660052,2619440
3421227187024,69908,1370,282512,28,31089,53,0,0,0,3963660052,2746284
3421227196103,71278,1370,271640,29,31113,54,0,0,0,3963660052,2793226
3421227203822,72648,1370,262134,24,28325,55,0,0,0,3963660052,2905021
3421227211509,74018,1370,253825,25,28325,56,0,0,0,3963660052,3010368
3421227219485,75388,1370,246562,26,28325,57,0,0,0,3963660052,3195272
3421227227100,76758,1370,240215,27,28325,58,0,0,0,3963660052,3289395
3421227235225,78128,1370,234670,28,28325,59,0,0,0,3963660052,3376308
3421227318110,79498,1370,229901,29,28325,60,0,0,0,3963677862,3456087
3421227329064,82238,1370,225559,30,28325,62,0,0,0,3963677862,3623124
3421227348301,84978,1370,221779,20,26775,64,0,0,0,3963677862,3692869
3421227355913,87718,1370,218478,22,26775,66,0,0,0,3963677862,3854648
3421227367653,90458,1370,215602,24,26775,68,0,0,0,3963677862,3912888
3421245010564,93198,1370,230728,26,26775,70,0,0,0,3963694302,4066752
3421245092547,95938,1370,244045,28,42080,72,0,0,0,3963697042,3800145
3421245119361,98678,1370,255725,30,42162,74,0,0,0,3963697042,3682599
3421245141448,100048,1370,265967,32,42189,75,0,0,0,3963697042,3514400
3421245150577,102788,1370,253107,33,42211,77,0,0,0,3963697042,3379065
3421245158798,105528,1370,241862,29,48606,79,0,0,0,3963697042,3637354
3421245167018,108268,1370,232032,31,48606,81,0,0,0,3963697042,3806468
3421245175429,111008,1370,223438,33,48606,83,0,0,0,3963697042,4062198
3421245273278,113748,1370,213542,35,48606,85,0,0,0,3963718962,4218440
3421245286109,115118,1370,204896,26,24486,86,0,0,0,3963718962,4619231
3421245295558,116488,1370,197339,27,24486,87,0,0,0,3963718962,4921130
3421245303504,117858,1370,190735,28,24486,88,0,0,0,3963718962,5220660
3421245315273,119228,1370,184969,29,24486,89,0,0,0,3963718962,5516344
3421245323452,120598,1370,179931,30,24486,90,0,0,0,3963718962,5806810
3421245408949,121968,1370,175608,31,24486,91,0,0,0,3963738142,6091223
3421245422443,126078,1370,171839,32,24486,94,0,0,0,3963738142,6365996
3421245431156,128818,1370,168551,35,24486,96,0,0,0,3963738142,6888308
3421245440616,130188,1370,156814,37,24486,97,0,0,0,3963738142,7282780
3421245460738,138408,1370,146564,29,33175,103,0,0,0,3963738142,7967655
3421245471316,145258,1370,137606,35,33175,108,0,0,0,3963738142,9422231
3421266936983,146628,1370,142311,40,33175,109,0,0,0,3963784722,10832085
3421266974209,147998,1370,146466,39,42097,110,0,0,0,3963784722,10627990
3421267024058,149368,1370,149999,40,42097,111,0,0,0,3963784722,10476151
3421267061445,150738,1370,153128,28,21849,112,0,0,0,3963784722,10375535
3421267101849,152108,1370,155905,29,21886,113,0,0,0,3963784722,10306671
3421267120394,153478,1370,158354,30,21926,114,0,0,0,3963784722,10263686
3421267135679,154848,1370,160512,31,21945,115,0,0,0,3963784722,10243378
3421267158730,156218,1370,162423,32,21960,116,0,0,0,3963784722,10242224
3421267173586,157588,1370,164111,33,21983,117,0,0,0,3963784722,10256675
3421267182746,158958,1370,165597,34,21998,118,0,0,0,3963784722,10284746
3421267198935,163068,1370,166913,35,22007,121,0,0,0,3963784722,10324824
3421267210733,168548,1370,168076,38,22023,125,0,0,0,3963784722,10637397
3421274449868,169918,1370,176333,42,22035,126,0,0,0,3963834042,11085461
3421274489633,171288,1370,183453,43,29274,127,0,0,0,3963834042,10690681
3421274520225,172658,1370,189714,37,29166,128,0,0,0,3963834042,10395251
3421274548526,174028,1370,195220,38,29197,129,0,0,0,3963834042,10167726
3421274571391,175398,1370,200061,39,29225,130,0,0,0,3963834042,9993238
3421274579567,176768,1370,204305,40,29248,131,0,0,0,3963834042,9860992
3421274587541,178138,1370,208026,41,29256,132,0,0,0,3963834042,9763441
3421274595073,179508,1370,211290,42,29264,133,0,0,0,3963834042,9694172
3421274602708,180878,1370,214153,43,29272,134,0,0,0,3963834042,9648161
3421274610401,182248,1370,216666,44,29279,135,0,0,0,3963834042,9621532
3421274617890,183618,1370,218872,45,29287,136,0,0,0,3963834042,9611106
3421274625585,184988,1370,220810,46,29294,137,0,0,0,3963834042,9614386
3421274633652,186358,1370,222514,47,29302,138,0,0,0,3963834042,9629274
