now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
10972133248705,1,1370,27784,0,0,1,0,0,1,1173283178,18446744073709551615
10972138958076,38,1370,29908,0,0,2,0,0,1,1173283215,7889432
10972149430852,1408,1370,32220,1,5597,3,0,0,1,1173296915,7329142
10972149545091,2778,1370,34358,1,5597,4,0,0,0,1173299655,7483550
10972149555037,4148,1370,36239,2,6165,5,0,0,0,1173299655,7655858
10972149563973,5518,1370,37893,3,6175,6,0,0,0,1173299655,7863351
10972149605516,6888,1370,39382,4,6183,7,0,0,0,1173307875,8098593
10972149620611,8258,1370,40644,5,6225,8,0,0,0,1173307875,8348991
10972149632473,9628,1370,41760,6,6240,9,0,0,0,1173307875,8629071
10972149707902,13738,1370,42811,7,6252,12,0,0,0,1173316095,8923371
10972157565873,15108,1370,45547,10,6327,13,0,0,0,1173324315,10240358
10972157675230,16478,1370,48051,10,8135,14,0,0,0,1173327055,10106483
10972157688172,17848,1370,50165,11,8245,15,0,0,0,1173327055,10036003
10972157695897,19218,1370,52022,9,8125,16,0,0,0,1173327055,10050034
10972157704823,20588,1370,53656,10,8132,17,0,0,0,1173327055,10112644
10972157712270,21958,1370,55093,11,8141,18,0,0,0,1173327055,10213210
10972157772668,23328,1370,56411,12,8149,19,0,0,0,1173340755,10344689
10972157786416,24698,1370,57578,13,8209,20,0,0,0,1173340755,10491570
10972157797957,26068,1370,58541,14,8223,21,0,0,0,1173340755,10659626
10972157844175,27438,1370,59431,12,8165,22,0,0,0,1173348975,10858714
10972157913064,30178,1370,60279,13,8212,24,0,0,0,1173351715,11064932
10972157926455,38398,1370,61034,15,8281,30,0,0,0,1173351715,11636556
10972163281794,41138,1370,66966,18,8219,32,0,0,0,1173373635,13647475
10972163380850,43878,1370,64365,20,13574,34,0,0,0,1173379115,13093211
10972163405935,45248,1370,62009,21,8133,35,0,0,0,1173379115,14303425
10972163452302,46618,1370,59994,17,8148,36,0,0,0,1173387335,15200374
10972163461862,47988,1370,58240,18,8148,37,0,0,0,1173387335,16076274
10972163470247,49358,1370,56714,19,8148,38,0,0,0,1173387335,16936813
10972163478035,50728,1370,55387,20,8148,39,0,0,0,1173387335,17779031
10972166955543,52098,1370,57703,21,8148,40,0,0,0,1173387335,18600754
10972167111351,53468,1370,59886,22,9243,41,0,0,0,1173401035,18234060
10972167129040,54838,1370,61814,23,9399,42,0,0,0,1173401035,17935410
10972167142038,56208,1370,63514,24,9417,43,0,0,0,1173401035,17730611
10972167154743,57578,1370,65013,25,9430,44,0,0,0,1173401035,17601158
10972167170774,58948,1370,66254,26,9442,45,0,0,0,1173401035,17532493
10972167184556,60318,1370,67354,24,9373,46,0,0,0,1173401035,17534941
10972167197346,61688,1370,68329,25,9387,47,0,0,0,1173401035,17574011
10972167209238,63058,1370,69194,26,9400,48,0,0,0,1173401035,17644045
10972167220392,64428,1370,69962,27,9412,49,0,0,0,1173401035,17740266
10972167232884,65798,1370,70646,28,9423,50,0,0,0,1173401035,17858837
10972167314343,67168,1370,71261,29,9435,51,0,0,0,1173414287,17996206
10972167325123,68538,1370,71810,29,9470,52,0,0,0,1173414287,18148496
10972167334043,69908,1370,72230,30,9481,53,0,0,0,1173414287,18314997
10972167341767,71278,1370,72605,23,9408,54,0,0,0,1173414287,18511975
10972167349250,72648,1370,72941,24,9415,55,0,0,0,1173414287,18718270
10972167356265,74018,1370,73242,25,9423,56,0,0,0,1173414287,18932561
10972167363864,75388,1370,73512,26,9430,57,0,0,0,1173414287,19154037
10972167371413,76758,1370,73756,27,9437,58,0,0,0,1173414287,19381869
10972167378537,78128,1370,73977,28,9445,59,0,0,0,1173414287,19614946
10972169946696,80868,1370,76738,29,9452,61,0,0,0,1173414287,19852656
10972169981462,83608,1370,79189,31,12020,63,0,0,0,1173414287,19709661
10972169998991,86348,1370,81351,33,12055,65,0,0,0,1173414287,19653234
10972170031846,87718,1370,83276,35,12072,66,0,0,0,1173414287,19669825
10972173089812,89088,1370,88018,36,12105,67,0,0,0,1173414287,19478361
10972173122318,90458,1370,92200,37,15163,68,0,0,0,1173414287,18677997
10972173147977,91828,1370,90513,38,15196,69,0,0,0,1173414287,18068546
10972173161386,93198,1370,89051,37,13589,70,0,0,0,1173414287,18647487
10972173173447,94568,1370,87784,38,13589,71,0,0,0,1173414287,19199784
10972173187020,95938,1370,86689,39,13589,72,0,0,0,1173414287,19726601
10972173199771,97308,1370,85641,40,13589,73,0,0,0,1173414287,20228633
10972173230475,98678,1370,84755,38,9794,74,0,0,0,1173414287,20732125
10972173246946,100048,1370,83996,39,9825,75,0,0,0,1173414287,21207480
10972173259769,101418,1370,83345,40,9841,76,0,0,0,1173414287,21660079
10972182870795,102788,1370,92386,41,9854,77,0,0,0,1173414287,22092267
10972182915899,104158,1370,100342,42,19465,78,0,0,0,1173414287,20167557
10972182936902,105528,1370,103752,43,19510,79,0,0,0,1173414287,18786948
10972182952230,106898,1370,106751,39,15981,80,0,0,0,1173414287,18380754
10972182980443,108268,1370,109404,40,15997,81,0,0,0,1173414287,17864375
10972182992864,109638,1370,111737,41,16025,82,0,0,0,1173414287,17431172
10972183030135,111008,1370,113816,42,16037,83,0,0,0,1173414287,17067220
10972183044733,112378,1370,115649,43,16075,84,0,0,0,1173414287,16948056
10972183056266,113748,1370,117265,44,16089,85,0,0,0,1173414287,16679435
10972183069671,115118,1370,118692,45,16101,86,0,0,0,1173414287,16449580
10972183081685,116488,1370,119953,46,16114,87,0,0,0,1173414287,16251811
10972183094281,117858,1370,121069,47,16126,88,0,0,0,1173414287,16263703
10972183109347,119228,1370,121801,48,16139,89,0,0,0,1173414287,16113786
10972183121117,120598,1370,122453,39,15877,90,0,0,0,1173414287,16016945
10972183132800,121968,1370,123035,40,15889,91,0,0,0,1173414287,15931663
10972183144531,123338,1370,123556,41,15900,92,0,0,0,1173414287,16034461
10972183156614,124708,1370,124024,42,15912,93,0,0,0,1173414287,15966849
10972183168298,126078,1370,124445,43,15924,94,0,0,0,1173414287,15906598
10972183179314,127448,1370,124825,44,15936,95,0,0,0,1173414287,15852786
10972183191771,128818,1370,125169,45,15947,96,0,0,0,1173414287,15980132
10972183203671,130188,1370,125482,46,15959,97,0,0,0,1173414287,15936214
10972183216402,131110,1370,125769,47,15971,98,0,0,0,1173414287,15896463
10973164139163,131111,1370,116402,48,15984,99,0,0,0,1173414288,15860188
