now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
1599322463711,1,1370,34408,0,0,1,0,0,1,2421256131,18446744073709551615,2421256131
1599328539588,38,1370,36071,0,0,2,0,0,1,2421256168,6370611,2421256168
1599345450358,1408,1370,37443,1,5964,3,0,0,1,2421269868,6076903,2421257538
1599345569455,2778,1370,38762,1,5880,4,0,0,0,2421272608,6439654,2421258908
1599345583068,4148,1370,39930,2,5999,5,0,0,0,2421272608,6786027,2421260278
1599345593123,5518,1370,40962,3,6013,6,0,0,0,2421272608,7136488,2421261648
1599345638916,6888,1370,41910,4,6023,7,0,0,0,2421280828,7491821,2421263018
1599349666398,6888,1370,46690,5,6068,8,0,0,0,2421283568,7845382,2421263018
1599349772263,9628,1370,50978,5,6068,9,0,0,0,2421284938,7042193,2421265758
1599349789607,10998,1370,54747,5,6068,10,0,0,0,2421284938,6879830,2421267128
1599349798466,12368,1370,58054,5,6068,11,0,0,0,2421284938,6806583,2421268498
1599349851757,13738,1370,61001,9,10228,12,0,0,0,2421293158,6796430,2421269868
1599354662486,15108,1370,62542,10,10281,13,0,0,0,2421293158,6827429,2421271238
1599354787203,16478,1370,64016,10,9212,14,0,0,0,2421298638,7009689,2421272608
1599354805165,17848,1370,65221,11,9337,15,0,0,0,2421298638,7190702,2421273978
1599354815567,19218,1370,66286,9,9212,16,0,0,0,2421298638,7393937,2421275348
1599354823295,20588,1370,67226,10,9222,17,0,0,0,2421298638,7605829,2421276718
1599354877886,24698,1370,68102,11,9230,20,0,0,0,2421309598,7825543,2421280828
1599354927730,27438,1370,68840,14,9284,22,0,0,0,2421317818,8690493,2421283568
1599363079104,30178,1370,73600,15,9289,24,0,0,0,2421323298,9234166,2421286308
1599363227336,32918,1370,77823,13,13281,26,0,0,0,2421328778,9232608,2421289048
1599363246278,35658,1370,81538,15,13429,28,0,0,0,2421328778,9294938,2421291788
1599363257035,37028,1370,84799,17,13448,29,0,0,0,2421328778,9409109,2421293158
1599363268792,39768,1370,82759,18,13459,31,0,0,0,2421328778,9305770,2421295898
1599363377850,42508,1370,81083,18,9213,33,0,0,0,2421347958,10064887,2421298638
1599377414723,45248,1370,93534,20,9213,35,0,0,0,2421347958,10813610,2421301378
1599377552245,46618,1370,104567,18,22591,36,0,0,0,2421358918,9842837,2421302748
1599377571480,47988,1370,114240,19,22729,37,0,0,0,2421358918,9013933,2421304118
1599377583421,49358,1370,122715,20,22748,38,0,0,0,2421358918,8442577,2421305488
1599377670760,50728,1370,130218,21,22760,39,0,0,0,2421358918,8038137,2421306858
1599377685994,63058,1370,136798,22,22847,48,0,0,0,2421358918,7743322,2421319188
1599378090624,67168,1370,142814,26,22758,51,0,0,0,2421394538,8812994,2421323298
1599378116829,72648,1370,139949,29,23163,55,0,0,0,2421394538,8902208,2421328778
1599378125501,76758,1370,137290,31,15037,58,0,0,0,2421394538,9710966,2421332888
1599378338512,79498,1370,135176,27,14857,60,0,0,0,2421421938,10378031,2421335628
1599378352133,90458,1370,133340,29,15070,68,0,0,0,2421421938,10864650,2421346588
1599378360180,91828,1370,131742,37,15084,69,0,0,0,2421421938,12329383,2421347958
1599391819944,93198,1370,129645,38,15092,70,0,0,0,2421421938,12645321,2421349328
1599391870807,94568,1370,127861,35,22621,71,0,0,0,2421421938,13018936,2421350698
1599391888675,95938,1370,126318,36,22621,72,0,0,0,2421421938,13372021,2421352068
1599391897559,97308,1370,124977,37,22621,73,0,0,0,2421421938,13708893,2421353438
1599429326327,98678,1370,161232,38,22621,74,0,0,0,2421461668,13855989,2421354808
1599429382963,100048,1370,193011,39,51912,75,0,0,0,2421461668,10740299,2421356178
1599429402528,101418,1370,220838,40,51968,76,0,0,0,2421461668,8971923,2421357548
1599429416827,102788,1370,245201,41,51988,77,0,0,0,2421461668,7940662,2421358918
1599429427145,104158,1370,266281,42,52002,78,0,0,0,2421461668,7151683,2421360288
1599429435865,105528,1370,284734,30,51742,79,0,0,0,2421461668,6585524,2421361658
1599429444175,106898,1370,300890,31,51750,80,0,0,0,2421461668,6158730,2421363028
1599429452424,108268,1370,315034,32,51759,81,0,0,0,2421461668,5900894,2421364398
1599429460656,109638,1370,327418,33,51767,82,0,0,0,2421461668,5635963,2421365768
1599429468662,111008,1370,338262,34,51775,83,0,0,0,2421461668,5422792,2421367138
1599429477093,112378,1370,347760,35,51783,84,0,0,0,2421461668,5248949,2421368508
1599429485367,113748,1370,356078,36,51792,85,0,0,0,2421461668,5168622,2421369878
1599429493213,115118,1370,363365,37,51800,86,0,0,0,2421461668,5047882,2421371248
1599429501315,117858,1370,369749,38,51808,88,0,0,0,2421461668,4946651,2421373988
1599429510784,120598,1370,375344,40,51816,90,0,0,0,2421461668,4920527,2421376728
1599429519027,123338,1370,380248,42,51825,92,0,0,0,2421461668,4847180,2421379468
1599429527046,126078,1370,384547,44,51834,94,0,0,0,2421461668,4842313,2421382208
1599429534791,128818,1370,388316,46,51842,96,0,0,0,2421461668,4788179,2421384948
1599429542553,131558,1370,391622,48,51849,98,0,0,0,2421461668,4798154,2421387688
1599429551620,134298,1370,394524,50,51857,100,0,0,0,2421461668,4757648,2421390428
1599449391260,137038,1370,416903,52,51866,102,0,0,0,2421461668,4778213,2421393168
1599449435963,138408,1370,436529,54,71706,103,0,0,0,2421461668,4521723,2421394538
1599449458282,141148,1370,453271,55,71750,105,0,0,0,2421461668,4318430,2421397278
1599449485349,143888,1370,467948,47,71333,107,0,0,0,2421461668,4207284,2421400018
1599449496221,146628,1370,480801,49,71360,109,0,0,0,2421461668,4075324,2421402758
1599460081981,149368,1370,502632,51,71371,111,0,0,0,2421493178,4011971,2421405498
1599460121470,152108,1370,521774,53,81956,113,0,0,0,2421493178,3837718,2421408238
1599460139193,154848,1370,538542,55,81996,115,0,0,0,2421493178,3738936,2421410978
1599460157915,157588,1370,553232,57,82014,117,0,0,0,2421493178,3622521,2421413718
1599460178534,160328,1370,566106,59,82032,119,0,0,0,2421493178,3565954,2421416458
1599460195046,163068,1370,577388,61,82053,121,0,0,0,2421493178,3484859,2421419198
1599460266438,165808,1370,587331,63,82070,123,0,0,0,2421493178,3454730,2421421938
1599460279791,176768,1370,574676,65,82141,131,0,0,0,2421493178,3396245,2421432898
1599460285956,187728,1370,563609,58,68382,139,0,0,0,2421493178,3547320,2421443858
1599465342713,190468,1370,558982,66,68388,141,0,0,0,2421493178,3694760,2421446598
1599465368296,193208,1370,554960,68,73445,143,0,0,0,2421493178,3764557,2421449338
1599465380253,195948,1370,551452,70,73471,145,0,0,0,2421493178,3791840,2421452078
1599469647986,198688,1370,552650,72,73483,147,0,0,0,2421523318,3855711,2421454818
1599469671331,201428,1370,553722,74,77750,149,0,0,0,2421523318,3847353,2421457558
1599472809031,204168,1370,557798,76,77774,151,0,0,0,2421523318,3879491,2421460298
1599472829616,205538,1370,561385,78,80912,152,0,0,0,2421523318,3851143,2421461668
1599482616114,206908,1370,517476,79,80932,153,0,0,0,2421523318,3865582,2421463038
1599482673328,208278,1370,479113,44,78202,154,0,0,0,2421523318,4193585,2421464408
1599482687055,209648,1370,445559,45,78202,155,0,0,0,2421523318,4529369,2421465778
1599482698911,211018,1370,416211,46,78202,156,0,0,0,2421523318,4870466,2421467148
1599482936639,212388,1370,390769,47,78202,157,0,0,0,2421564418,5266559,2421468518
1599482951272,213758,1370,368522,48,78202,158,0,0,0,2421564418,5609452,2421469888
1599482962970,215128,1370,349067,49,78202,159,0,0,0,2421564418,5948084,2421471258
1599482974257,216498,1370,332056,50,78202,160,0,0,0,2421564418,6279596,2421472628
1599482988572,217868,1370,317185,51,78202,161,0,0,0,2421564418,6667309,2421473998
1599506237027,219238,1370,327422,52,78202,162,0,0,0,2421564418,6979901,2421475368
1599506284562,220608,1370,336427,53,78202,163,0,0,0,2421564418,6761671,2421476738
1599506302204,221978,1370,344324,54,78202,164,0,0,0,2421564418,6580684,2421478108
1599506314009,223348,1370,351246,55,78202,165,0,0,0,2421564418,6493418,2421479478
1599506325698,224718,1370,357314,56,78202,166,0,0,0,2421564418,6365453,2421480848
1599506338629,226088,1370,362636,57,78202,167,0,0,0,2421564418,6257353,2421482218
1599506350746,227458,1370,367305,58,78202,168,0,0,0,2421564418,6165521,2421483588
1599506362463,228828,1370,371402,59,78202,169,0,0,0,2421564418,6146826,2421484958
1599506375141,230198,1370,375000,60,78202,170,0,0,0,2421564418,6079019,2421486328
1599506389200,231568,1370,378162,61,78202,171,0,0,0,2421564418,6020693,2421487698
1599506401096,232938,1370,380941,62,78202,172,0,0,0,2421564418,5970351,2421489068
1599506411993,234308,1370,383383,63,78202,173,0,0,0,2421564418,5984338,2421490438
1599506423158,235678,1370,385532,64,78202,174,0,0,0,2421564418,5946220,2421491808
1599573572799,237048,1370,454561,65,78202,175,0,0,0,2421634288,5913075,2421493178
1599573668197,238418,1370,504759,66,124076,176,0,0,0,2421635658,5015124,2421494548
1599573683671,239788,1370,548698,31,108288,177,0,0,0,2421635658,4559799,2421495918
1599573695655,241158,1370,587156,32,108303,178,0,0,0,2421635658,4194657,2421497288
1599573707133,242528,1370,620819,33,108315,179,0,0,0,2421635658,3919912,2421498658
1599573718939,243898,1370,650285,34,108327,180,0,0,0,2421635658,3707360,2421500028
1599573730486,245268,1370,676080,35,108338,181,0,0,0,2421635658,3573079,2421501398
1599573741695,246638,1370,698661,36,108350,182,0,0,0,2421635658,3436753,2421502768
1599573753160,248008,1370,718432,37,108361,183,0,0,0,2421635658,3325675,2421504138
1599573764468,249378,1370,735742,38,108373,184,0,0,0,2421635658,3234154,2421505508
1599573775746,250748,1370,750900,39,108384,185,0,0,0,2421635658,3187856,2421506878
1599573786830,252118,1370,764174,40,108395,186,0,0,0,2421635658,3123505,2421508248
1599573798043,253488,1370,775801,41,108406,187,0,0,0,2421635658,3069248,2421509618
1599573809573,254858,1370,785985,42,108418,188,0,0,0,2421635658,3023249,2421510988
1599573937964,256228,1370,795024,43,108429,189,0,0,0,2421658948,3011965,2421512358
1599573951585,257598,1370,802947,44,108557,190,0,0,0,2421658948,2977721,2421513728
1599573962789,258968,1370,809891,45,108571,191,0,0,0,2421658948,2948339,2421515098
1599573974460,260338,1370,815979,46,108582,192,0,0,0,2421658948,2923060,2421516468
1599573985771,261708,1370,821317,47,108594,193,0,0,0,2421658948,2928114,2421517838
1599573997019,263078,1370,826000,48,108605,194,0,0,0,2421658948,2909083,2421519208
1599574040980,264448,1370,830140,49,108617,195,0,0,0,2421658948,2892590,2421520578
1599574053590,265818,1370,833776,50,108660,196,0,0,0,2421658948,2878165,2421521948
1599574065137,267188,1370,836969,51,108673,197,0,0,0,2421658948,2891903,2421523318
1599574077863,268558,1370,823719,52,108685,198,0,0,0,2421658948,2880871,2421524688
1599574107053,269928,1370,812156,42,91379,199,0,0,0,2421658948,2927211,2421526058
1599574118705,271298,1370,802049,43,91409,200,0,0,0,2421658948,2968887,2421527428
1599574234713,272668,1370,793321,44,91420,201,0,0,0,2421679498,3033630,2421528798
1599574248407,274038,1370,785698,45,91536,202,0,0,0,2421679498,3067005,2421530168
1599574260132,275408,1370,779040,46,91550,203,0,0,0,2421679498,3096762,2421531538
1599574271618,276778,1370,773225,47,91562,204,0,0,0,2421679498,3123228,2421532908
1599574287959,278148,1370,768153,48,91573,205,0,0,0,2421679498,3175065,2421534278
